REFERENTIEL DES METADONNEES DU SAE																											
Code Metadonnees	Libellé	Description	Format	Spécifiable lors de l'archivage	Obligatoire à l'archivage	Consultée par défaut	Consultable	Critère de recherche	Indexée	Formatage	Taille maximum autorisée en archivage	Exemple de valeur	Liste de valeurs fermée	Nom du dictionnaire	Annuaire	Diffusable clients	Enrichissement par le SAE	Détails de l'enrichissement	"Code interne
(couche services + stockage Cassandra)"	Métadonnée gérée directement par DFCE	"Accès via l'API DFCE
(couche storage)"	Type DFCE	Multi-valuée	Obligatoire au stockage	Date dernière MAJ	"Modifiable
par le client"	RG modif
TailleFichier	Taille du fichier	Taille du fichier en octets	Numérique	non	non	oui	oui	non	non			132465				oui	Oui	A la capture, TailleFichier est calculé automatiquement par DFCE à partir de la taille du fichier physique.	SM_SIZE	oui	document.getSize	Long	non	non		non	
IdTraitementMasseInterne	Identifiant interne du traitement de masse	Identifiant permettant de gérer le rollback sur les traitements de masse	Alphanumérique	non	non	non	oui	oui	oui		20	110E8400-E29B-11D4-A716-446655440000 				non	NON		iti	non		String	non	non		non	
IdTraitementMasse	Identifiant client du traitement de masse	Identifiant permettant de gérer les traitements de masse pour l'application cliente	Alphanumérique	oui	non	non	oui	oui	oui		20	123654				oui	NON		itm	non		String	non	non			
DocumentVirtuel	Information indiquant si le document est virtuel ou non	Information indiquant si le document est virtuel ou non	Booléen	non	non	non	non	non	non			false				non	Oui	"false
(valeur automatiquement affectée selon l'API utilisée pour le stockage)"	SM_VIRTUAL	oui	document.isVirtual	Boolean	non	oui		non	
StartPage	Page de début	Pour un document virtuel, il s'agit de la page de départ dans le document container	Numérique	non	non	non	non	non	non			4				non	NON		SM_START_PAGE	oui	document.getStartPage	Integer	non	non		non	
EndPage	Page de fin	Pour un document virtuel, il s'agit de la page de fin dans le document container	Numérique	non	non	non	non	non	non			12				non	NON		SM_END_PAGE	oui	document.getEndPage	Integer	non	non		non	
ContratDeService	Contrat de Service	Identifiant du contrat de service utilisé pour archiver le document	Alphanumérique	non	non	oui	oui	non	non			ATT_PROD_001	oui			non	Oui	ATT_PROD_001 (en dur dans le code)	cse	non		String	non	oui	12/04/2013	non	
DateArchivage	Date archivage	Date à laquelle le document a été archivé dans le SAE	Date	non	non	oui	oui	oui	oui	yyyy-mm-dd	10	2012-01-01				oui	Oui	Date du jour	SM_ARCHIVAGE_DATE	oui	document.getArchivageDate()	Date	non	oui		non	
VersionNumber	Numéro de la version consultée	Numéro de la version consultée du document	Alphanumérique	non	non	non	non	non	non			1				non	NON		SM_VERSION	oui	versionNumber	Integer	non	non		non	
DateModification	Date modification (DFCE)	Date modification (DFCE)	Date	non	non	non	non	non	oui	yyyy-mm-dd	10	2012-01-01				non	NON		SM_MODIFICATION_DATE	oui	document.getModificationDate	Date	non	non		non	
JetonDePreuve	Identifiant du jeton de preuve issu d'une vérification de signature(s) électronique(s)	Identifiant du jeton de preuve renvoyé par les services de signature lors d'une demande de vérification de signature(s) électronique(s).	Alphanumérique	oui	non	non	oui	non	non			1A2B3C4D5E6F7G8H9I				oui	NON		jdp	non		String	non	non		non	
RUM	Référence Unique de Mandat	Référence Unique de Mandat	Alphanumérique	oui	non	non	oui	oui	oui		35	??abc : d 12 ef				oui	NON		rum	non		String	non	non		oui	
DateSignature	Date de signature	Date de signature	Date	oui	non	non	oui	oui	non	yyyy-mm-dd	10	2012-08-16				oui	NON		dsi	non		Date	non	non		non	
ReferenceDocumentaire	Référence documentaire	Référence documentaire. Utilisée pour l'instant dans les mandats SEPA	Alphanumérique	oui	non	non	oui	oui	oui		30	213039953275				oui	NON		rdo	non		String	non	non		oui	
DateCourrierV2	Date du courrier V2	Date du courrier V2 (enregistrement AAAA colonne 438 à 446)	Date	oui	non	non	oui	oui	non	yyyy-mm-dd	10	2013-03-13				oui	NON		dcr	non		Date	non	non	20/03/2013	oui	
RIBA	Index RSI V2	Index RSI V2 (enregistrement BAAU colonne 28 à 47)	Alphanumérique	oui	non	non	oui	oui	oui		20	99/39405R00006204505				oui	NON		rib	non		String	non	non	20/03/2013	oui	
CodeProduitV2	Code produit V2	Code produit V2	Alphanumérique	oui	non	non	oui	oui	non		5	QD75A				oui	NON		cpr	non		String	non	non	20/03/2013	oui	
CodeTraitementV2	Code traitement V2	Code traitement V2	Alphanumérique	oui	non	non	oui	oui	non		8	RD75.L02				oui	NON		ctr	non		String	non	non	20/03/2013	oui	
